2015-08-19 14:55:53,122 | INFO  | Apache ActiveMQ 5.12.0 (amq-broker, ID:lnz123701n02-40064-1439992553001-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2015-08-19 14:55:53,141 | INFO  | Listening for connections at: tcp://lnz123701n02.local:61616 | org.apache.activemq.transport.TransportServerThreadSupport | main
2015-08-19 14:55:53,145 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2015-08-19 14:55:53,409 | INFO  | Listening for connections at: ssl://lnz123701n02.local:61617 | org.apache.activemq.transport.TransportServerThreadSupport | main
2015-08-19 14:55:53,409 | INFO  | Connector ssl started | org.apache.activemq.broker.TransportConnector | main
2015-08-19 14:55:53,412 | INFO  | Listening for connections at: stomp://lnz123701n02.local:61613 | org.apache.activemq.transport.TransportServerThreadSupport | main
2015-08-19 14:55:53,412 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2015-08-19 14:55:53,510 | INFO  | Listening for connections at ws://lnz123701n02.local:61614/ | org.apache.activemq.transport.ws.WSTransportServer | main
2015-08-19 14:55:53,510 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2015-08-19 14:55:53,511 | INFO  | Apache ActiveMQ 5.12.0 (amq-broker, ID:lnz123701n02-40064-1439992553001-0:1) started | org.apache.activemq.broker.BrokerService | main
2015-08-19 14:55:53,511 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2015-08-19 14:55:54,115 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2015-08-19 14:55:54,115 | INFO  | ActiveMQ Jolokia REST API available at http://0.0.0.0:8161/api/jolokia/ | org.apache.activemq.web.WebConsoleStarter | main
2015-08-19 14:55:54,180 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2015-08-19 14:55:54,418 | INFO  | jolokia-agent: No access restrictor found at classpath:/jolokia-access.xml, access to all MBeans is allowed | /api | main
2015-08-19 14:55:54,543 | INFO  | Apache Camel 2.15.2 (CamelContext: camel) is starting | org.apache.camel.spring.SpringCamelContext | main
2015-08-19 14:55:54,544 | INFO  | JMX is enabled | org.apache.camel.management.ManagedManagementStrategy | main
2015-08-19 14:55:54,649 | INFO  | Loaded 186 type converters | org.apache.camel.impl.converter.DefaultTypeConverter | main
2015-08-19 14:55:54,766 | INFO  | AllowUseOriginalMessage is enabled. If access to the original message is not needed, then its recommended to turn this option off as it may improve performance. | org.apache.camel.spring.SpringCamelContext | main
2015-08-19 14:55:54,766 | INFO  | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html | org.apache.camel.spring.SpringCamelContext | main
2015-08-19 14:55:54,829 | INFO  | Connector vm://amq-broker started | org.apache.activemq.broker.TransportConnector | main
2015-08-19 14:55:54,865 | INFO  | Route: route1 started and consuming from: Endpoint[activemq://example.A] | org.apache.camel.spring.SpringCamelContext | main
2015-08-19 14:55:54,865 | INFO  | Total 1 routes, of which 1 is started. | org.apache.camel.spring.SpringCamelContext | main
2015-08-19 14:55:54,871 | INFO  | Apache Camel 2.15.2 (CamelContext: camel) started in 0.323 seconds | org.apache.camel.spring.SpringCamelContext | main
2015-08-19 14:56:20,479 | WARN  | Broker localhost not started so using amq-broker instead | org.apache.activemq.broker.BrokerRegistry | qtp257718694-43
2015-08-19 14:56:20,479 | INFO  | Connector vm://localhost started | org.apache.activemq.broker.TransportConnector | qtp257718694-43
2015-08-19 14:56:37,779 | INFO  | PortfolioPublishServlet: Sending: <price stock='IBMW' bid='32.778003326223036' offer='32.81078132954926' movement='down'/> on destination: topic://STOCKS.IBMW | /demo | qtp257718694-46
2015-08-19 14:56:39,825 | INFO  | PortfolioPublishServlet: Sending: <price stock='IBMW' bid='33.06251008020226' offer='33.09557259028246' movement='up'/> on destination: topic://STOCKS.IBMW | /demo | qtp257718694-46
2015-08-19 14:56:41,870 | INFO  | PortfolioPublishServlet: Sending: <price stock='SUNW' bid='9.313198751275058' offer='9.322511950026332' movement='down'/> on destination: topic://STOCKS.SUNW | /demo | qtp257718694-46
2015-08-19 14:56:43,944 | INFO  | PortfolioPublishServlet: Sending: <price stock='BEAS' bid='12.560999208810609' offer='12.573560208019417' movement='up'/> on destination: topic://STOCKS.BEAS | /demo | qtp257718694-42
2015-08-19 14:56:45,991 | INFO  | PortfolioPublishServlet: Sending: <price stock='MSFT' bid='39.96216453557844' offer='40.00212670011401' movement='down'/> on destination: topic://STOCKS.MSFT | /demo | qtp257718694-47
2015-08-19 14:56:53,171 | WARN  | Broker localhost not started so using amq-broker instead | org.apache.activemq.broker.BrokerRegistry | qtp257718694-46
